"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://www.desertspineandsports.com/","text/html; charset=UTF-8","200","OK","Indexable","","Sports Injury & Pain Relief Physicians in Phoenix | Desert Spine","64","556","Non-surgical experts in neck & back pain, sports injuries, herniated discs, prp, sciatica, spinal stenosis in Greater Phoenix, AZ.","130","765","","0","We Perform","10","We Treat","8","Welcome to Desert Spine and Sports Physicians","45","Board Certified Specialists","27","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/","","","","","","251770","43393","43393","16.899","","1526","291","5.244","68.015","Normal","5.514","0","0","","734","706","0","90.630","216","108","0","32","25","0","","","","","189f6c06f31fc83193af19ab9bfaadc","1.838","","","","","en","1.1","","https://www.desertspineandsports.com/","2025-06-17 04:47:16"
"https://www.desertspineandsports.com/prp-therapy-discogenic-low-back-pain-herniated-disc/","text/html; charset=UTF-8","200","OK","Indexable","","PRP Therapy for Discogenic Low Back Pain and Herniated Discs","60","566","Learn how platelet-rich plasma (PRP) therapy is used to treat discogenic low back pain and radiculopathy from herniated discs. Explore evidence and outcomes.","157","986","","0","Platelet-Rich Plasma Therapy in Treatment of Discogenic Low Back Pain & Acute Herniated Nucleus Pulposus with Radiculopathy","123","","0","Understanding Discogenic Low Back Pain","38","Platelet-Rich Plasma for Discogenic Low Back Pain","49","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/prp-therapy-discogenic-low-back-pain-herniated-disc/","","","","","","211825","40153","40153","15.637","","1729","330","5.239","47.583","Hard","7.819","1","1","","29","16","0","2.050","201","109","0","15","11","0","","","","","184bc3c249c714d311274e2de42b390b","3.037","","","","","en","1.1","","https://www.desertspineandsports.com/prp-therapy-discogenic-low-back-pain-herniated-disc/","2025-06-17 04:47:21"
"https://www.desertspineandsports.com/womens-health-issues-in-sports/","text/html; charset=UTF-8","200","OK","Indexable","","Women's Health Issues in Sports | Facing Challenges in Athletics","64","575","Female athletes face unique health challenges in sports, including injury risk, hormonal factors, and performance concerns. Learn how to address these challenges.","162","1004","","0","Women’s Health Issues in Sports: Addressing Unique Challenges","61","","0","Understanding the Unique Health Concerns of Female Athletes","59","Common Health Issues Affecting Female Athletes","46","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/womens-health-issues-in-sports/","","","","","","202057","37169","37169","14.475","","718","103","6.971","38.336","Hard","4.734","1","1","","20","6","0","0.770","195","104","0","19","15","0","","","","","cca1e5ab8610a36eab5670310b5eeb21","3.300","","","","","en","1.1","","https://www.desertspineandsports.com/womens-health-issues-in-sports/","2025-06-17 04:47:21"
"https://www.desertspineandsports.com/austin-le/","text/html; charset=UTF-8","200","OK","Indexable","","Austin Le, MD Phoenix, AZ.","26","239","Austin Le, MD Desert Spine and Sports Non-surgical pain and movement specialists","80","512","","0","Austin Le, MD","13","","0","Austin Le, MD","13","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/austin-le/","","","","","","196950","35632","35632","13.877","","396","123","3.220","60.858","Normal","3.650","1","1","","1415","705","0","90.500","186","98","0","17","13","0","","","","","a11dd59a3ab3cd61b603b5e6533131dd","3.187","","","","","en","1.1","","https://www.desertspineandsports.com/austin-le/","2025-06-17 04:47:21"
"https://www.desertspineandsports.com/locations/scottsdale/","text/html; charset=UTF-8","200","OK","Indexable","","Trusted Spine Care in Scottsdale: Your Path to Pain-Free Living","63","562","At Desert Spine & Sports Physicians in Scottsdale, we diagnose, treat, and prevent spine, sports, and musculoskeletal pain with holistic non-surgical care.","155","939","","0","Our Scottsdale Location","23","","0","Scottsdale Pain Relief Center: Expert Pain Management Solutions","63","Hours of Operation","18","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/locations/scottsdale/","","","","","","238487","40583","40583","15.805","","369","90","4.100","64.195","Normal","2.896","1","2","","1415","705","0","90.500","204","101","0","18","12","0","","","","","b1a0b896c9e6ebbd9745237f6c20d461","3.518","","","","","en","1.1","","https://www.desertspineandsports.com/locations/scottsdale/","2025-06-17 04:47:21"
"https://www.desertspineandsports.com/peripheral-nerve-radiofrequency-ablation/","text/html; charset=UTF-8","200","OK","Indexable","","Peripheral Nerve Radiofrequency Ablation | RFA Nerve Pain Relief","64","582","Peripheral Nerve RFA offers lasting relief for knee, hip, shoulder and even occipital pain by targeting specific nerve signals.","127","747","","0","Peripheral Nerve Radiofrequency Ablation (RFA)","46","","0","What is Peripheral Nerve RFA?","29","The Benefits of Peripheral Nerve RFA","36","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/peripheral-nerve-radiofrequency-ablation/","","","","","","224926","38944","38944","15.166","","1166","186","6.269","57.102","Fairly Hard","5.420","1","1","","1416","705","0","90.500","199","102","0","15","11","0","","","","","bb38a28879baeed1f014880dd0a7def0","3.088","","","","","en","1.1","","https://www.desertspineandsports.com/peripheral-nerve-radiofrequency-ablation/","2025-06-17 04:47:22"
"https://www.desertspineandsports.com/dssp-blog/","text/html; charset=UTF-8","200","OK","Indexable","","Blog | Desert Spine and Sports","30","269","Blog | Desert Spine and Sports | Non-surgical pain and movement specialists","75","467","","0","Blog","4","","0","13 Jun PRP Therapy for Degenerative Disc Disease: A Regenerative Approach to Back Pain","86","27 May Radiofrequency Ablation for Chronic Neck Pain and Cervicogenic Headaches","79","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/dssp-blog/","","","","","","254024","41003","41003","15.968","","1222","274","4.460","77.208","Fairly Easy","4.617","1","1","","2140","704","0","90.370","412","269","0","15","11","0","","","","","4df5fbe231623e79bcfda15cd3df029a","1.933","","","","","en","1.1","","https://www.desertspineandsports.com/dssp-blog/","2025-06-17 04:47:24"
"https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/epidural-steroid-injections/","text/html; charset=UTF-8","200","OK","Indexable","","Epidural Steroid Injections | Arizona Pain Relief Specialists","61","518","Experience non-surgical healing with epidural spine injections. Our guide explains the procedure step by step, highlighting its precision and immediate post-procedure care.","172","1047","","0","Epidural Steroid Injections","27","","0","Understanding Epidural Steroid Injections for Pain Relief","57","Benefits of Epidural Steroid Injections","39","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/epidural-steroid-injections/","","","","","","239224","41635","41635","16.214","","2180","279","7.814","64.476","Normal","7.343","1","2","","1444","705","0","90.500","209","100","0","15","11","0","","","","","601be9bceffbd2b97edc87df12eb6c3b","2.361","","","","","en","1.1","","https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/epidural-steroid-injections/","2025-06-17 04:47:25"
"https://www.desertspineandsports.com/david-weinfeld/","text/html; charset=UTF-8","200","OK","Indexable","","David Weinfeld, MD Phoenix, AZ.","31","289","David Weinfeld, MD Desert Spine and Sports Non-surgical pain and movement specialists","85","545","","0","David Weinfeld, MD","18","","0","David Weinfeld, MD","18","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/david-weinfeld/","","","","","","196572","35468","35468","13.813","","333","70","4.757","50.082","Fairly Hard","3.427","1","1","","1415","705","0","90.500","186","98","0","15","11","0","","","","","388fb08f44e4bd01ea55b60bac33bff","3.739","","","","","en","1.1","","https://www.desertspineandsports.com/david-weinfeld/","2025-06-17 04:47:26"
"https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/facet-joint-injections/","text/html; charset=UTF-8","200","OK","Indexable","","Facet Joint Injections for Pain Relief In Arizona","49","416","Explore how our cervical, thoracic, and lumbar facet joint injections in Arizona can alleviate back pain. Learn about the procedure, benefits, risks, and more.","159","951","","0","Facet Joint Injections: Effective Pain Management for Spinal Joints","67","","0","Understanding Facet Joint Injections","36","Types of Facet Joint Injections","31","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/facet-joint-injections/","","","","","","217056","37580","37580","14.635","","844","132","6.394","67.030","Normal","4.506","1","2","","1418","705","0","90.500","194","100","0","15","11","0","","","","","e540b393b5f4369b9beeec5a6177f50b","3.840","","","","","en","1.1","","https://www.desertspineandsports.com/spine-injections-under-fluoroscopy/facet-joint-injections/","2025-06-17 04:47:26"
