"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://www.looknatural.com/","text/html; charset=UTF-8","200","OK","Indexable","","The Plastic Surgery Center: Leading Plastic Surgeons in NJ, NY, and PA","70","633","The Plastic Surgery Center in NJ, NY & PA provides exceptional cosmetic and reconstructive surgery. Discover the latest techniques and achieve your desired look.","161","994","","0","Achieve your Vision of Beauty. Reclaim your Confidence.","55","Schedule A Consultation","23","Awards, Certificates, & Associations","36","","","","https://www.looknatural.com/","","","","","","319855","44977","44977","17.516","","9493","1767","5.372","81.678","Easy","17.013","0","0","","643","304","0","100.000","220","101","0","16","11","0","","","","","9989997c92716fff30c3f5fb1163e52d","0.148","Fri, 20 Jun 2025 22:05:28 GMT","","","","en","1.1","","https://www.looknatural.com/","2025-06-22 09:51:49"
"https://www.looknatural.com/surgical-procedures/face/platysmaplasty","text/html; charset=UTF-8","200","OK","Indexable","","Define Your Jawline with Our Plastysmaplasty Procedure in NJ, NY, & PA","70","645","Achieve a more youthful and defined neckline with a plastysmaplasty, or neck/chin surgery. Our expert surgeons can help you achieve realistic and balanced results.","163","1009","","0","Firm and Define Your Neck and Jaw with a Neck and Chin Lift","59","Overview","8","Summary","7","","","","https://www.looknatural.com/surgical-procedures/face/platysmaplasty","","","","","","187524","27133","27133","10.567","","1817","421","4.316","73.110","Fairly Easy","6.218","1","2","","634","304","0","100.000","209","106","0","16","11","0","","","","","bec3e9f3546672e3e94976e110029a68","0.103","Fri, 20 Jun 2025 22:05:28 GMT","","","","en","1.1","","https://www.looknatural.com/surgical-procedures/face/platysmaplasty","2025-06-22 09:51:50"
"https://www.looknatural.com/surgical-procedures/gender-affirmation/facial","text/html; charset=UTF-8","200","OK","Indexable","","Gender Affirmation Facial Procedures in NJ & PA","47","436","Achieve the outer appearance that matches your gender identity with our gender affirmation facial procedures. Contact The Plastic Surgery Center today to learn more.","165","1030","","0","Empower Your Identity with Facial Surgery for Gender Affirmation","64","Overview","8","Summary","7","","","","https://www.looknatural.com/surgical-procedures/gender-affirmation/facial","","","","","","223090","30275","30275","11.790","","1734","458","3.786","58.431","Fairly Hard","5.096","1","2","","633","304","0","100.000","202","99","0","16","11","0","","","","","16c13a663757f73631d9dd5751595e5a","0.663","Fri, 20 Jun 2025 22:05:28 GMT","","","","en","1.1","","https://www.looknatural.com/surgical-procedures/gender-affirmation/facial","2025-06-22 09:51:50"
"https://www.looknatural.com/locations/livingston","text/html; charset=UTF-8","200","OK","Indexable","","Innovative Surgical Solutions in Livingston, NJ | Expert Surgeons","65","570","Explore Livingston's plastic and reconstructive surgery center. Our surgeons offer innovative solutions for transformative results. Discover excellence in surgical care!","169","1017","","0","Livingston","10","Contact Hours","13","Contact Info","12","","","","https://www.looknatural.com/locations/livingston","","","","","","190714","24558","24558","9.564","","1105","402","2.749","85.988","Easy","3.855","1","1","","72","44","0","14.470","228","100","0","16","11","0","","","","","9392f77eaaf57d1df637af9e925351c4","0.866","Fri, 20 Jun 2025 15:06:44 GMT","","","","en","1.1","","https://www.looknatural.com/locations/livingston","2025-06-22 09:51:50"
"https://www.looknatural.com/surgical-procedures/body/fat-grafting","text/html; charset=UTF-8","200","OK","Indexable","","Personalized Fat Grafting Procedures to Meet Your Goals","55","511","Restore lost volume and enhance your appearance with fat grafting at The Plastic Surgery Center. Our skilled surgeons can help you achieve natural-looking results.","163","1008","","0","Body Contouring and Volume Restoration with Fat Grafting","56","Overview","8","Summary","7","","","","https://www.looknatural.com/surgical-procedures/body/fat-grafting","","","","","","208129","29835","29835","11.619","","1720","430","4.000","65.054","Normal","5.421","1","2","","621","304","0","100.000","201","108","0","16","11","0","","","","","c6517bd8b179785fb6b5e660591c5db3","0.858","Fri, 20 Jun 2025 22:05:26 GMT","","","","en","1.1","","https://www.looknatural.com/surgical-procedures/body/fat-grafting","2025-06-22 09:51:50"
"https://www.looknatural.com/locations/edison","text/html; charset=UTF-8","200","OK","Indexable","","Plastic & Reconstructive Surgery/Treatments in Edison, NJ | IFAR","64","577","Explore our array of plastic and reconstructive surgery treatments in Edison, New Jersey here! We offer a wide range of the best reconstructive procedures.","155","953","","0","Edison","6","Contact Hours","13","Contact Info","12","","","","https://www.looknatural.com/locations/edison","","","","","","216470","27730","27730","10.799","","1780","524","3.397","85.755","Easy","5.095","1","1","","395","304","0","100.000","243","101","0","17","11","0","","","","","4b3910db734f80c18b0ad972f8cf116f","0.873","Fri, 20 Jun 2025 15:06:46 GMT","","","","en","1.1","","https://www.looknatural.com/locations/edison","2025-06-22 09:51:50"
"https://www.looknatural.com/locations/lehigh-valley","text/html; charset=UTF-8","200","OK","Indexable","","Leigh Valley, PA Plastic Surgery Office | Advanced Reconstruction","65","583","Learn more about our Leigh Valley plastic and reconstructive surgery clinic here! We offer a range of procedures and treatments in PA to improve your quality of life!","166","1007","","0","Lehigh Valley","13","Contact Hours","13","Contact Info","12","","","","https://www.looknatural.com/locations/lehigh-valley","","","","","","211380","27064","27064","10.540","","1511","481","3.141","82.709","Easy","4.617","1","1","","389","304","0","100.000","239","101","0","17","11","0","","","","","8b5e1c9ec32565ba63ea2b77f09ba5b9","1.167","Fri, 20 Jun 2025 15:06:43 GMT","","","","en","1.1","","https://www.looknatural.com/locations/lehigh-valley","2025-06-22 09:51:50"
"https://www.looknatural.com/resources/medical-records-request","text/html; charset=UTF-8","200","OK","Indexable","","Medical Records Request","23","225","","0","0","","0","Medical Records Request","23","Unleash Your Natural Beauty","27","","0","","","","https://www.looknatural.com/resources/medical-records-request","","","","","","114694","18132","18132","7.061","","581","189","3.074","63.346","Normal","3.495","1","1","","608","304","0","100.000","174","90","0","18","13","0","","","","","b374d96c3f8709f8d1612133af5a3728","0.786","Fri, 20 Jun 2025 22:05:27 GMT","","","","en","1.1","","https://www.looknatural.com/resources/medical-records-request","2025-06-22 09:51:51"
"https://www.looknatural.com/non-surgical-procedures/laser","text/html; charset=UTF-8","200","OK","Indexable","","Bye Bye Hair: Laser Hair Removal Treatments | NY, NJ, & PA","58","533","Discover the benefits of laser treatments for skin rejuvenation, hair removal, and more. Our experts provide safe and effective laser services.","143","858","","0","Discover the Magic of our Laser Treatments","42","Laser Treatment Services","24","Types of Facial Surgery","23","","","","https://www.looknatural.com/non-surgical-procedures/laser","","","","","","164660","22774","22774","8.869","","956","271","3.528","55.204","Fairly Hard","3.952","1","1","","8","4","0","1.320","180","91","0","26","12","0","","","","","3ba80e146b4488f96060e76a7873ca01","0.915","Fri, 20 Jun 2025 22:05:30 GMT","","","","en","1.1","","https://www.looknatural.com/non-surgical-procedures/laser","2025-06-22 09:51:51"
"https://www.looknatural.com/surgical-procedures/body/thigh-lift","text/html; charset=UTF-8","200","OK","Indexable","","Transform Your Legs with Expert Thigh Lift Surgery","50","456","Achieve toned and contoured thighs with a thigh lift by our expert surgeons. We offer thigh lift surgery to help you achieve the natural-looking results you desire.","164","982","","0","Tighten and Refine with Inner Thigh Lift Surgery","48","Overview","8","Summary","7","","","","https://www.looknatural.com/surgical-procedures/body/thigh-lift","","","","","","202951","27782","27782","10.819","","1804","434","4.157","69.713","Normal","5.680","1","2","","625","304","0","100.000","203","106","0","16","11","0","","","","","40dd638ecee8e197de812524b230b3c1","0.147","Fri, 20 Jun 2025 22:05:31 GMT","","","","en","1.1","","https://www.looknatural.com/surgical-procedures/body/thigh-lift","2025-06-22 09:51:51"
